Product Name , Price ,FinalPrice,Prod Rating, RAM , Display, Camera,Warranty 
Apple iPhone 6s (Space Grey, 32 GB),Rs 29799,4.5,32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 6s (Rose Gold, 32 GB),Rs 29799,4.5,32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 7 (Silver, 32 GB),Rs 38999,4.5,32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 6s (Gold, 32 GB),Rs 29799,4.4,32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 7 (Rose Gold, 32 GB),Rs 38999,4.5,32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 8 (PRODUCT)RED (Red, 64 GB),Rs 58999,4.7,64 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 6s (Silver, 32 GB),Rs 29799,4.4,32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 7 (Gold, 32 GB),Rs 38999,4.5,32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 6 (Gold, 32 GB),Rs 28999EMI starting from ,4.4,32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 6s Plus (Silver, 16 GB),Rs 42980EMI starting from ,4.3,16 GB ROM |,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,Brand Warranty of 1 Year
Apple iPhone XR (Blue, 256 GB),Rs 78399,4.6,256 GB ROM |,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 8 Plus (Gold, 256 GB),Rs 79999,4.6,256 GB ROM |,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 7 Plus (Gold, 128 GB),Rs 59490EMI starting from ,4.5,128 GB ROM |,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 8 Plus (Silver, 64 GB),Rs 68999,4.6,64 GB ROM |,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 6s Plus (Space Grey, 16 GB),Rs 42900EMI starting from ,4.4,16 GB ROM |,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 8 (Space Grey, 64 GB),Rs 58999,4.5,64 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 8 (Silver, 256 GB),Rs 68999,4.5,256 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 7 Plus (Rose Gold, 256 GB),Rs 64900EMI starting from ,4.5,256 GB ROM |,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 7 Plus (Red, 128 GB),Rs 61900,4.6,128 GB ROM |,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 8 (Space Grey, 256 GB),Rs 73390EMI starting from ,4.5,256 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 7 (Black, 32 GB),Rs 38999,4.5,32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Brand Warranty of 1 Year
Apple iPhone XR (Yellow, 256 GB),Rs 78399,4.6,256 GB ROM |,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 8 (Silver, 64 GB),Rs 58999,4.5,64 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Brand Warranty of 1 Year
Apple iPhone 8 Plus (Silver, 256 GB),Rs 79999,4.6,256 GB ROM |,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Brand Warranty of 1 Year
